company,question,ground_truth,context,topic,source_pdf,answer,contexts
TotalEnergies,What is the annual CO₂e reduction that TotalEnergies expects to achieve by aiming for zero methane emissions in 2025 and 2026?,160 kt CO₂e per year,Aiming for Zero Methane Emissions 2025 and 2026. They will enable an overall reduction of 160 kt CO2e/year.,emissions,src\data\scraped_pdfs\totalenergies.pdf,,"[""Aiming for Zero Methane Emissions 2025 and 2026. They will enable an overall reduction of 160 kt CO2e/year.""]"
TotalEnergies,Which internal committee is tasked with analysing climate‑related risks and aligning TotalEnergies’ risk mapping with the TCFD recommendations?,The TotalEnergies Risk Management Committee (TRMC),The risks posed by climate change are included among the risks analyzed by the TotalEnergies Risk Management Committee (TRMC). ... the TRMC also verifies the use of appropriate risk management systems. ... in accordance with the recommendation of the Taskforce on Climate-related Financial Disclosure (TCFD).,governance,src\data\scraped_pdfs\totalenergies.pdf,,"[""The risks posed by climate change are included among the risks analyzed by the TotalEnergies Risk Management Committee (TRMC). ... the TRMC also verifies the use of appropriate risk management systems. ... in accordance with the recommendation of the Taskforce on Climate-related Financial Disclosure (TCFD).""]"
TotalEnergies,What carbon price does TotalEnergies use in its investment criteria to assess project profitability under a Paris‑Agreement‑compatible scenario?,$100 per ton of CO₂e (or the prevailing higher price in a given country),Each material investment project is assessed taking into consideration the aims of the Paris Agreement on the basis of the following criteria: • project profitability is analyzed in a hydrocarbon price scenario compatible with the Paris Agreement objectives ... with a carbon price of $100 per ton (or the prevailing price if higher in a given country);,taxonomy,src\data\scraped_pdfs\totalenergies.pdf,,"[""Each material investment project is assessed taking into consideration the aims of the Paris Agreement on the basis of the following criteria: • project profitability is analyzed in a hydrocarbon price scenario compatible with the Paris Agreement objectives ... with a carbon price of $100 per ton (or the prevailing price if higher in a given country);""]"
TotalEnergies,"What was TotalEnergies’ Total Recordable Injury Rate (TRIR) for 2024, expressed per million hours worked?",0.55 per million hours worked,"In 2024, TRIR continuously decreased and achieved 0.55 ... The number of injuries per million hours worked (TRIR) for Company employees and contractors ... reached 0.55 in 2024.",social,src\data\scraped_pdfs\totalenergies.pdf,,"[""In 2024, TRIR continuously decreased and achieved 0.55 ... The number of injuries per million hours worked (TRIR) for Company employees and contractors ... reached 0.55 in 2024.""]"
TotalEnergies,"What is the reported carbon intensity of the Marsa LNG plant in Oman, and how does it compare to the average carbon intensity of LNG plants worldwide?","Less than 3 kg CO₂e per barrel of oil equivalent (boe), which is over 90 % lower than the world average of about 35 kg CO₂e/boe.","Marsa LNG will therefore be one of the lowest carbon intensity LNG plants in the world, with less than 3 kg CO2e/boe. The average carbon intensity of LNG plants in the world is around 35 kg CO2e/boe – this represents a reduction in emissions of over 90%.",other,src\data\scraped_pdfs\totalenergies.pdf,,"[""Marsa LNG will therefore be one of the lowest carbon intensity LNG plants in the world, with less than 3 kg CO2e/boe. The average carbon intensity of LNG plants in the world is around 35 kg CO2e/boe – this represents a reduction in emissions of over 90%.""]"
BNP Paribas,"What percentage of BNP Paribas' credit exposure to energy production was low‑carbon energy at the end of September 2024, and what was the total euro amount of that exposure?",76% and €36.8 billion,"at the end of September 2024, low-carbon energy accounted for 76% of our credit exposure to energy production, up 36% over two years. This represents €36.8 billion for low-carbon, of which €34.2 billion was for renewable energies.",emissions,src\data\scraped_pdfs\bnp-paribas.pdf,,"[""at the end of September 2024, low-carbon energy accounted for 76% of our credit exposure to energy production, up 36% over two years. This represents €36.8 billion for low-carbon, of which €34.2 billion was for renewable energies.""]"
BNP Paribas,How many members sit on BNP Paribas' Board of Directors and how many of them represent employee shareholders?,14 members; one represents employee shareholders,"The Board of Directors is composed of 14 members, including one representing employee shareholders. It brings together the expertise of 14 Directors (see pages 44-45).",governance,src\data\scraped_pdfs\bnp-paribas.pdf,,"[""The Board of Directors is composed of 14 members, including one representing employee shareholders. It brings together the expertise of 14 Directors (see pages 44-45).""]"
BNP Paribas,Since which year has BNP Paribas been aligning its investment portfolios with trajectories consistent with the Paris Climate Agreement?,Since 2022,"Since 2022, BNP Paribas has been aligning its portfolios with trajectories consistent with the Paris Climate Agreement.",taxonomy,src\data\scraped_pdfs\bnp-paribas.pdf,,"[""Since 2022, BNP Paribas has been aligning its portfolios with trajectories consistent with the Paris Climate Agreement.""]"
BNP Paribas,How many new impact bonds did BNP Paribas structure in 2024 and what was their combined nominal value?,Four impact bonds; €10.5 million,"In 2024, the Group has structured four new impact bonds for a total of €10.5 million.",social,src\data\scraped_pdfs\bnp-paribas.pdf,,"[""In 2024, the Group has structured four new impact bonds for a total of €10.5 million.""]"
BNP Paribas,"In which country did BNP Paribas Bank Polska co‑finance McCain’s regenerative agriculture programme until 2027, and what premium does McCain pay farmers per tonne delivered from regenerative‑agriculture fields?",Poland; €5 per tonne,"In Poland, BNP Paribas Bank Polska is co‑financing this support until 2027. To encourage farmers’ commitment, our programme is structured around three components... McCain offers them a three‑year contract with a premium of €5 per tonne delivered from regenerative agriculture fields.",biodiversity,src\data\scraped_pdfs\bnp-paribas.pdf,,"[""In Poland, BNP Paribas Bank Polska is co‑financing this support until 2027. To encourage farmers’ commitment, our programme is structured around three components... McCain offers them a three‑year contract with a premium of €5 per tonne delivered from regenerative agriculture fields.""]"
