question,ground_truth
"What are the GHG emissions reduction targets (Scope 1, 2, and 3)?","Companies report varying GHG reduction targets. Volkswagen targets a 42% reduction in Scope 1 and 2 emissions by 2030 versus 2021. TotalEnergies targets net-zero Scope 1 and 2 emissions by 2050 and a 40% reduction in Scope 3 oil and gas product emissions by 2030. ENGIE targets carbon neutrality by 2045 across all scopes. These targets are aligned with the Paris Agreement 1.5°C pathway."
"What net-zero or carbon neutrality commitments have been made?","TotalEnergies has committed to net-zero emissions across all scopes by 2050. Volkswagen targets climate neutrality across its entire value chain by 2050. Airbus targets net-zero carbon emissions from its operations by 2035 and net-zero across its full value chain by 2050. Danone has committed to net-zero emissions by 2050 with a 2030 milestone of 50% absolute emissions reduction. Siemens targets carbon neutrality in its own operations by 2030."
"How does the company address biodiversity and ecosystem risks?","TotalEnergies implements biodiversity action plans at sensitive sites and conducts biodiversity impact assessments for new projects, targeting no net loss of biodiversity. Volkswagen integrates biodiversity criteria into site management and supply chain assessments, working to protect and restore ecosystems near production facilities. Companies disclose biodiversity-related risks under CSRD ESRS E4 requirements and align with the Kunming-Montreal Global Biodiversity Framework."
"What water management targets or achievements are reported?","Airbus targets a 30% reduction in water consumption per aircraft delivered by 2030 versus 2015. ENGIE monitors and reduces water withdrawals at water-stressed sites with site-specific reduction targets. Volkswagen targets a 45% reduction in water consumption per vehicle produced by 2030 versus 2021. Siemens reports progress on reducing freshwater consumption in manufacturing operations. Companies disclose water risks in accordance with ESRS E3."
"Describe the circular economy initiatives and waste reduction targets.","Volkswagen pursues closed-loop material cycles for battery materials including lithium, cobalt, and nickel, and targets zero landfill waste across all production facilities. L'Oréal targets 100% of plastic packaging to be refillable, reusable, recyclable or compostable by 2030. Siemens focuses on waste reduction and recycling in manufacturing with a target to reduce waste to landfill. These initiatives are disclosed under CSRD ESRS E5 requirements."
"What social commitments are made regarding the workforce?","TotalEnergies commits to zero fatalities, improvement of employee safety indicators, and pay equity across genders. ENGIE commits to increasing the proportion of women in leadership positions and invests in employee training and reskilling. Companies disclose workforce-related commitments under CSRD ESRS S1 covering working conditions, equal treatment, and social protection."
"How does the company support workers in its value chain?","Volkswagen implements a supply chain due diligence program covering human rights and labour standards, conducting supplier audits and capacity building. Airbus requires suppliers to adhere to its Supplier Code of Conduct covering labour rights, health and safety, and environmental standards. Companies address value chain worker rights under CSRD ESRS S2 requirements, including mechanisms for workers to raise concerns."
"What governance structures oversee sustainability and ESG topics?","Airbus has a dedicated Sustainability Committee at Board level that reviews ESG strategy and performance. BNP Paribas integrates ESG oversight into its Board of Directors through a dedicated CSR committee. ENGIE's Board of Directors includes a Committee for Ethics, Environment and Sustainable Development. These structures reflect CSRD ESRS G1 requirements for governance oversight of sustainability matters."
"What CSRD double materiality assessment has been conducted?","ENGIE conducted a double materiality assessment identifying climate change, biodiversity loss, and energy access as its most material topics from both impact and financial perspectives. BNP Paribas conducted a double materiality assessment across its financing activities, identifying climate transition risk and human rights in value chains as key material topics. L'Oréal assessed material sustainability topics across its full value chain. These assessments follow the ESRS requirements for identifying material IROs (impacts, risks and opportunities)."
"What climate-related risks and opportunities are disclosed?","Airbus discloses physical climate risks including extreme weather impacts on operations and supply chains, and transition risks from increasing carbon pricing and regulatory requirements. BNP Paribas discloses climate transition risks in its loan portfolio and opportunities in green finance. TotalEnergies discloses transition risks from declining fossil fuel demand and opportunities in low-carbon energy growth. Disclosures align with TCFD recommendations and CSRD ESRS E1."
"What renewable energy targets or achievements are reported?","ENGIE targets 80 GW of installed renewable energy capacity by 2030, up from 41 GW in 2023, making renewables the core of its energy transition strategy. Airbus targets 100% renewable electricity across its own operations by 2026 and works with airports to increase sustainable aviation fuel availability. Companies disclose renewable energy targets and progress under CSRD ESRS E1 requirements."
"How does the company measure and disclose its supply chain emissions?","Companies measure Scope 3 supply chain emissions using spend-based and activity-based methods in line with the GHG Protocol Corporate Value Chain Standard. Airbus discloses Scope 3 Category 11 (use of sold products) as its largest emission source and works with suppliers to reduce Scope 3 Category 1 purchased goods emissions. Danone discloses Scope 3 emissions across all 15 categories with a focus on Category 1 (purchased goods and services) which represents the majority of its footprint. TotalEnergies discloses Scope 3 oil and gas product emissions and sets reduction targets aligned with its net-zero strategy."
