chunk_id,company,report_type,year,pdf_filename,chunk_index,page_start,page_end,section_title,token_count_estimate,word_count,char_count,citation,pdf_path,final_url
airbus::Airbus_Annual_Report_2024::0001,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,1,1,4,Airbus Annual Report 2024 Innovation in action,488,403,2648,Airbus | Airbus_Annual_Report_2024.pdf | pages 1-4,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0002,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,2,4,5,2024 at a glance,469,349,2217,Airbus | Airbus_Annual_Report_2024.pdf | pages 4-5,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0003,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,3,5,6,2024 at a glance,405,351,2287,Airbus | Airbus_Annual_Report_2024.pdf | pages 5-6,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0004,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,4,6,7,Navigating a complex world,494,420,2717,Airbus | Airbus_Annual_Report_2024.pdf | pages 6-7,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0005,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,5,6,7,Navigating a complex world,464,385,2641,Airbus | Airbus_Annual_Report_2024.pdf | pages 6-7,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0006,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,6,7,8,Navigating a complex world,465,401,2669,Airbus | Airbus_Annual_Report_2024.pdf | pages 7-8,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0007,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,7,7,8,Navigating a complex world,451,390,2540,Airbus | Airbus_Annual_Report_2024.pdf | pages 7-8,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0008,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,8,8,9,Progressing with priorities,435,375,2436,Airbus | Airbus_Annual_Report_2024.pdf | pages 8-9,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0009,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,9,9,9,Progressing with priorities,461,400,2715,Airbus | Airbus_Annual_Report_2024.pdf | page 9,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
airbus::Airbus_Annual_Report_2024::0010,Airbus,annual_report,2024,Airbus_Annual_Report_2024.pdf,10,9,10,Progressing with priorities,486,416,2695,Airbus | Airbus_Annual_Report_2024.pdf | pages 9-10,data/raw_pdfs/airbus/Airbus_Annual_Report_2024.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
